,FLT,FLT_next,REG,ITY,NAT,PAX,DES,ORG,start_time,end_time,arrival,towing,departure,stand,f,start,end,CGMS,prev,next,UID,disrupted,prev_stand,prev_start,prev_end
346,SQ051,SQ956,9VSMK,A359,PAX,0.0,CGK,IAH,2019-05-13 07:40:00,2019-05-13 09:25:00,1.0,0.0,1.0,E3,1.0,494.0,599.0,F56,arr,dpt,346,0,E3,494.0,599.0
347,SQ957,SQ962,9VSMK,A359,PAX,0.0,CGK,CGK,2019-05-13 14:05:00,2019-05-13 16:25:00,1.0,0.0,1.0,E28,1.0,879.0,1019.0,E22,arr,dpt,347,0,E28,879.0,1019.0
348,SQ963,SQ963,9VSMK,A359,PAX,0.0,,CGK,2019-05-13 20:55:00,2019-05-13 23:59:00,1.0,0.0,0.0,B1,1.0,1289.0,1473.0,F60,arr,tow,348,0,B1,1289.0,1473.0
349,SQ517,SQ106,9VSSE,A333,PAX,0.0,KUL,CCU,2019-05-13 06:40:00,2019-05-13 08:30:00,1.0,0.0,1.0,F41,1.0,434.0,544.0,F40,arr,dpt,349,0,F41,434.0,544.0
350,SQ107,SQ108,9VSSE,A333,PAX,0.0,KUL,KUL,2019-05-13 11:35:00,2019-05-13 12:45:00,1.0,0.0,1.0,F34,1.0,729.0,799.0,E20,arr,dpt,350,0,F34,729.0,799.0
351,SQ109,SQ112,9VSSE,A333,PAX,0.0,KUL,KUL,2019-05-13 15:30:00,2019-05-13 16:20:00,1.0,0.0,1.0,F34,1.0,964.0,1014.0,F41,arr,dpt,351,0,F34,964.0,1014.0
352,SQ113,SQ516,9VSSE,A333,PAX,0.0,CCU,KUL,2019-05-13 19:10:00,2019-05-13 21:00:00,1.0,0.0,1.0,B7,1.0,1184.0,1294.0,A11,arr,dpt,352,0,B7,1184.0,1294.0
353,SQ256,SQ116,9VSHC,A359,PAX,0.0,KUL,BNE,2019-05-13 15:30:00,2019-05-13 16:45:00,1.0,0.0,1.0,E26,1.0,964.0,1039.0,F60,arr,dpt,353,0,E26,964.0,1039.0
354,SQ117,SQ235,9VSHC,A359,PAX,0.0,BNE,KUL,2019-05-13 19:50:00,2019-05-13 21:30:00,1.0,0.0,1.0,A15,1.0,1224.0,1324.0,B3,arr,dpt,354,0,A15,1224.0,1324.0
355,SQ178,SQ178,9VSTC,A333,PAX,0.0,SGN,,2019-05-13 00:00:00,2019-05-13 09:45:00,1.0,0.0,1.0,F31,1.0,34.0,619.0,F34,arr,dpt,355,0,F31,34.0,619.0
356,SQ177,SQ118,9VSTC,A333,PAX,0.0,KUL,SGN,2019-05-13 15:30:00,2019-05-13 18:45:00,1.0,0.0,1.0,E24,1.0,964.0,1159.0,F34,arr,dpt,356,0,E24,964.0,1159.0
357,SQ119,SQ119,9VSTC,A333,PAX,0.0,,KUL,2019-05-13 21:50:00,2019-05-13 23:59:00,1.0,0.0,0.0,A15,1.0,1344.0,1473.0,E3,arr,tow,357,0,A15,1344.0,1473.0
358,SQ531,SQ176,9VSSI,A333,PAX,0.0,HAN,AMD,2019-05-13 07:10:00,2019-05-13 09:20:00,1.0,0.0,1.0,E20,1.0,464.0,594.0,E5,arr,dpt,358,0,E20,464.0,594.0
359,SQ175,SQ918,9VSSI,A333,PAX,0.0,MNL,HAN,2019-05-13 17:05:00,2019-05-13 19:25:00,1.0,0.0,1.0,E26,1.0,1059.0,1199.0,E5,arr,dpt,359,0,E26,1059.0,1199.0
360,SQ182,SQ182,9VSYF,B773,PAX,0.0,BWN,,2019-05-13 00:00:00,2019-05-13 06:40:00,1.0,0.0,0.0,B9,1.0,34.0,434.0,E26,arr,tow,360,0,B9,34.0,434.0
361,SQ182,SQ182,9VSYF,B773,PAX,0.0,BWN,,2019-05-13 06:40:00,2019-05-13 08:40:00,0.0,0.0,1.0,E4,1.0,434.0,554.0,E26,tow,dpt,361,0,E4,434.0,554.0
362,SQ181,SQ181,9VSYF,B773,PAX,0.0,,BWN,2019-05-13 14:05:00,2019-05-13 23:59:00,1.0,1.0,0.0,200,1.0,879.0,1473.0,B2,arr,tow,362,0,200,879.0,1473.0
363,SQ469,SQ184,9VSTW,A333,PAX,0.0,SGN,CMB,2019-05-13 07:20:00,2019-05-13 11:30:00,1.0,0.0,0.0,D41,1.0,474.0,724.0,A9,arr,tow,363,0,D41,474.0,724.0
